lat,lon,month,solar_kwh_m2_day,wind_ms,temp_c
50.0,-180.0,1,2.077,5.406,-7.46
50.0,-180.0,2,3.322,4.54,-6.57
50.0,-180.0,3,5.032,4.588,-0.0
50.0,-180.0,4,6.914,4.316,7.93
50.0,-180.0,5,7.945,3.657,14.91
50.0,-180.0,6,7.482,2.755,19.09
50.0,-180.0,7,8.024,2.879,20.47
50.0,-180.0,8,6.448,3.037,19.94
50.0,-180.0,9,4.645,3.68,13.43
50.0,-180.0,10,3.53,4.194,7.46
50.0,-180.0,11,2.536,4.414,-0.09
50.0,-180.0,12,0.0,5.391,-4.0
50.0,-165.0,1,2.027,4.815,-6.73
50.0,-165.0,2,3.287,5.146,-3.29
50.0,-165.0,3,4.937,4.594,1.26
50.0,-165.0,4,7.043,4.082,8.81
50.0,-165.0,5,8.019,3.555,14.92
50.0,-165.0,6,7.661,2.939,18.46
50.0,-165.0,7,7.862,2.807,21.13
50.0,-165.0,8,6.709,3.39,19.05
50.0,-165.0,9,4.494,3.511,14.52
50.0,-165.0,10,3.557,4.281,8.65
50.0,-165.0,11,2.237,4.854,0.56
50.0,-165.0,12,0.0,4.56,-5.31
50.0,-150.0,1,1.93,5.14,-4.55
50.0,-150.0,2,3.292,4.998,-3.54
50.0,-150.0,3,5.092,4.7,1.84
50.0,-150.0,4,6.937,3.856,8.99
50.0,-150.0,5,7.794,3.276,17.03
50.0,-150.0,6,7.586,3.194,22.29
50.0,-150.0,7,7.998,2.742,23.64
50.0,-150.0,8,6.52,2.531,20.13
50.0,-150.0,9,4.538,3.58,15.55
50.0,-150.0,10,3.378,4.445,8.97
50.0,-150.0,11,2.236,4.213,2.89
50.0,-150.0,12,0.0,4.824,-4.06
50.0,-135.0,1,2.141,5.256,-5.84
50.0,-135.0,2,3.238,4.45,-2.7
50.0,-135.0,3,5.025,4.635,2.86
50.0,-135.0,4,7.019,3.92,12.5
50.0,-135.0,5,7.814,3.531,18.58
50.0,-135.0,6,7.748,3.176,24.73
50.0,-135.0,7,8.094,2.68,24.72
50.0,-135.0,8,6.418,2.569,23.51
50.0,-135.0,9,4.773,2.939,18.18
50.0,-135.0,10,3.365,4.297,11.21
50.0,-135.0,11,2.518,4.699,6.3
50.0,-135.0,12,0.0,5.05,-4.24
50.0,-120.0,1,1.943,4.929,-3.77
50.0,-120.0,2,3.192,5.051,-0.21
50.0,-120.0,3,4.998,4.007,3.37
50.0,-120.0,4,6.958,4.662,12.11
50.0,-120.0,5,7.953,3.319,20.91
50.0,-120.0,6,7.443,2.837,24.64
50.0,-120.0,7,8.174,3.237,26.87
50.0,-120.0,8,6.421,3.226,26.54
50.0,-120.0,9,4.678,3.264,19.89
50.0,-120.0,10,3.54,3.615,11.71
50.0,-120.0,11,2.126,5.146,4.58
50.0,-120.0,12,0.019,5.096,-1.39
50.0,-105.0,1,2.197,5.063,-2.74
50.0,-105.0,2,3.342,5.597,-0.41
50.0,-105.0,3,5.039,4.178,3.71
50.0,-105.0,4,7.215,4.044,14.55
50.0,-105.0,5,7.891,3.17,22.18
50.0,-105.0,6,7.478,3.016,27.14
50.0,-105.0,7,7.918,3.125,28.44
50.0,-105.0,8,6.698,3.38,26.58
50.0,-105.0,9,4.45,3.262,20.67
50.0,-105.0,10,3.34,3.99,11.95
50.0,-105.0,11,2.389,4.668,3.61
50.0,-105.0,12,0.0,5.411,-1.17
50.0,-90.0,1,2.105,5.236,-1.7
50.0,-90.0,2,3.126,5.228,-1.16
50.0,-90.0,3,5.038,4.772,3.74
50.0,-90.0,4,7.044,4.847,15.21
50.0,-90.0,5,7.835,3.128,20.27
50.0,-90.0,6,7.514,3.659,26.63
50.0,-90.0,7,7.831,2.338,27.76
50.0,-90.0,8,6.51,3.052,25.25
50.0,-90.0,9,4.591,3.025,20.46
50.0,-90.0,10,3.311,3.739,14.82
50.0,-90.0,11,2.147,5.757,6.66
50.0,-90.0,12,0.0,5.262,-1.3
50.0,-75.0,1,2.248,5.301,-4.56
50.0,-75.0,2,3.303,5.107,-1.08
50.0,-75.0,3,5.0,4.753,2.74
50.0,-75.0,4,6.985,4.092,12.03
50.0,-75.0,5,7.994,3.791,20.5
50.0,-75.0,6,7.627,3.334,25.16
50.0,-75.0,7,7.832,3.152,27.49
50.0,-75.0,8,6.78,3.469,26.68
50.0,-75.0,9,4.605,4.153,18.37
50.0,-75.0,10,3.518,3.676,12.28
50.0,-75.0,11,2.39,4.448,4.57
50.0,-75.0,12,0.0,5.257,-1.25
50.0,-60.0,1,2.005,5.402,-4.52
50.0,-60.0,2,3.228,4.444,-0.96
50.0,-60.0,3,4.988,5.044,3.16
50.0,-60.0,4,6.972,4.505,8.63
50.0,-60.0,5,8.145,4.142,16.26
50.0,-60.0,6,7.545,3.069,23.15
50.0,-60.0,7,7.878,3.494,26.5
50.0,-60.0,8,6.737,3.591,24.39
50.0,-60.0,9,4.906,4.13,18.23
50.0,-60.0,10,3.451,4.146,10.46
50.0,-60.0,11,2.398,5.214,1.81
50.0,-60.0,12,0.0,5.605,-1.26
50.0,-45.0,1,2.259,5.043,-4.61
50.0,-45.0,2,3.201,5.265,-4.62
50.0,-45.0,3,5.198,4.799,2.39
50.0,-45.0,4,6.895,4.068,8.88
50.0,-45.0,5,7.857,4.348,16.25
50.0,-45.0,6,7.658,3.647,18.84
50.0,-45.0,7,7.927,3.959,23.45
50.0,-45.0,8,6.282,3.748,20.54
50.0,-45.0,9,4.507,4.072,17.41
50.0,-45.0,10,3.588,4.778,8.27
50.0,-45.0,11,2.407,5.126,1.98
50.0,-45.0,12,0.032,5.395,-4.31
50.0,-30.0,1,2.022,6.04,-5.73
50.0,-30.0,2,3.082,6.061,-4.4
50.0,-30.0,3,4.927,5.211,-0.09
50.0,-30.0,4,7.118,5.055,7.58
50.0,-30.0,5,8.04,4.234,15.25
50.0,-30.0,6,7.864,2.936,19.21
50.0,-30.0,7,8.111,3.528,20.79
50.0,-30.0,8,6.686,3.199,17.82
50.0,-30.0,9,4.504,4.194,13.62
50.0,-30.0,10,3.55,4.096,7.85
50.0,-30.0,11,2.002,4.975,0.79
50.0,-30.0,12,0.055,5.591,-3.57
50.0,-15.0,1,2.131,5.958,-6.27
50.0,-15.0,2,3.125,5.694,-4.88
50.0,-15.0,3,5.115,5.405,-0.19
50.0,-15.0,4,6.985,4.963,6.8
50.0,-15.0,5,7.698,3.604,12.33
50.0,-15.0,6,7.305,3.983,17.86
50.0,-15.0,7,7.884,3.954,20.53
50.0,-15.0,8,6.689,4.194,18.47
50.0,-15.0,9,4.707,3.915,12.79
50.0,-15.0,10,3.309,4.548,6.03
50.0,-15.0,11,2.375,4.739,1.93
50.0,-15.0,12,0.047,5.792,-5.75
50.0,0.0,1,2.025,6.161,-8.25
50.0,0.0,2,3.137,5.315,-5.15
50.0,0.0,3,4.938,5.22,0.74
50.0,0.0,4,7.056,5.199,7.41
50.0,0.0,5,7.896,4.56,12.31
50.0,0.0,6,7.545,3.918,19.83
50.0,0.0,7,7.903,4.319,20.87
50.0,0.0,8,6.778,3.84,18.79
50.0,0.0,9,4.826,4.303,12.94
50.0,0.0,10,3.484,4.445,7.36
50.0,0.0,11,2.088,4.895,-1.76
50.0,0.0,12,0.0,6.367,-4.91
50.0,15.0,1,2.173,5.998,-6.85
50.0,15.0,2,3.161,5.794,-4.32
50.0,15.0,3,5.091,5.699,0.69
50.0,15.0,4,6.88,5.686,7.95
50.0,15.0,5,7.964,4.258,16.29
50.0,15.0,6,7.655,3.764,19.86
50.0,15.0,7,7.825,3.378,22.2
50.0,15.0,8,6.609,3.952,21.0
50.0,15.0,9,4.662,4.118,15.31
50.0,15.0,10,3.599,4.659,6.11
50.0,15.0,11,2.04,5.804,-0.47
50.0,15.0,12,0.107,5.203,-4.75
50.0,30.0,1,1.685,6.737,-5.59
50.0,30.0,2,3.262,5.905,-3.67
50.0,30.0,3,4.829,5.375,1.86
50.0,30.0,4,7.006,4.911,10.14
50.0,30.0,5,8.017,4.554,15.86
50.0,30.0,6,7.78,3.527,20.84
50.0,30.0,7,8.079,4.181,23.55
50.0,30.0,8,6.476,3.883,23.27
50.0,30.0,9,4.727,4.113,18.11
50.0,30.0,10,3.374,4.948,8.9
50.0,30.0,11,2.091,5.151,2.79
50.0,30.0,12,0.138,5.467,-5.51
50.0,45.0,1,1.838,5.963,-4.94
50.0,45.0,2,3.188,5.673,-2.36
50.0,45.0,3,5.041,5.574,2.38
50.0,45.0,4,7.096,4.971,11.28
50.0,45.0,5,7.973,4.196,20.44
50.0,45.0,6,7.548,3.462,23.14
50.0,45.0,7,7.769,3.652,25.02
50.0,45.0,8,6.569,3.556,23.95
50.0,45.0,9,4.804,4.17,19.14
50.0,45.0,10,3.408,4.842,11.44
50.0,45.0,11,2.105,5.418,3.32
50.0,45.0,12,0.0,5.22,-1.91
50.0,60.0,1,2.201,5.748,-2.1
50.0,60.0,2,3.253,5.284,-3.68
50.0,60.0,3,4.981,5.536,3.34
50.0,60.0,4,7.256,4.443,10.99
50.0,60.0,5,7.966,3.759,21.54
50.0,60.0,6,7.615,3.206,27.43
50.0,60.0,7,7.765,3.454,27.26
50.0,60.0,8,6.627,3.163,25.85
50.0,60.0,9,4.758,4.632,19.35
50.0,60.0,10,3.411,4.926,11.53
50.0,60.0,11,2.37,4.696,4.86
50.0,60.0,12,0.065,5.771,-2.31
50.0,75.0,1,1.869,5.491,-2.51
50.0,75.0,2,3.055,5.71,-0.13
50.0,75.0,3,4.943,5.069,6.38
50.0,75.0,4,7.021,4.456,13.09
50.0,75.0,5,7.994,3.979,20.18
50.0,75.0,6,7.748,2.876,25.45
50.0,75.0,7,8.112,3.431,31.16
50.0,75.0,8,6.297,3.62,26.18
50.0,75.0,9,4.674,4.326,19.6
50.0,75.0,10,3.55,4.918,11.33
50.0,75.0,11,2.525,5.105,5.11
50.0,75.0,12,0.0,5.02,-0.23
50.0,90.0,1,2.06,6.337,-3.43
50.0,90.0,2,3.188,5.156,0.74
50.0,90.0,3,5.087,4.836,5.14
50.0,90.0,4,7.038,4.477,13.9
50.0,90.0,5,7.734,3.724,20.54
50.0,90.0,6,7.544,3.04,26.23
50.0,90.0,7,7.725,3.307,28.9
50.0,90.0,8,6.221,3.733,27.09
50.0,90.0,9,4.611,4.333,19.24
50.0,90.0,10,3.529,4.737,15.07
50.0,90.0,11,2.325,5.426,4.66
50.0,90.0,12,0.075,5.36,0.32
50.0,105.0,1,1.988,5.87,-4.05
50.0,105.0,2,3.389,5.297,-1.97
50.0,105.0,3,5.054,5.377,3.87
50.0,105.0,4,6.746,4.22,10.97
50.0,105.0,5,7.659,3.623,18.52
50.0,105.0,6,7.561,3.455,26.22
50.0,105.0,7,7.795,3.761,27.11
50.0,105.0,8,6.412,3.736,24.2
50.0,105.0,9,4.67,3.939,20.13
50.0,105.0,10,3.571,4.489,10.76
50.0,105.0,11,2.254,4.496,2.9
50.0,105.0,12,0.082,5.088,-1.86
50.0,120.0,1,2.029,4.692,-3.29
50.0,120.0,2,3.03,5.854,-3.36
50.0,120.0,3,5.05,4.541,3.75
50.0,120.0,4,6.882,4.41,10.84
50.0,120.0,5,8.003,3.937,17.61
50.0,120.0,6,7.604,3.72,23.99
50.0,120.0,7,7.724,3.641,22.95
50.0,120.0,8,6.672,2.786,22.19
50.0,120.0,9,4.708,4.469,18.73
50.0,120.0,10,3.549,4.077,10.02
50.0,120.0,11,2.28,4.585,2.69
50.0,120.0,12,0.246,5.74,-0.65
50.0,135.0,1,1.93,5.61,-4.49
50.0,135.0,2,3.262,5.461,-2.19
50.0,135.0,3,5.105,4.956,2.39
50.0,135.0,4,6.803,4.092,8.93
50.0,135.0,5,7.784,4.342,17.62
50.0,135.0,6,7.748,3.807,21.39
50.0,135.0,7,7.92,2.804,23.24
50.0,135.0,8,6.577,2.878,21.19
50.0,135.0,9,4.69,4.366,15.86
50.0,135.0,10,3.594,4.374,8.86
50.0,135.0,11,2.284,4.458,1.55
50.0,135.0,12,0.0,4.801,-4.19
50.0,150.0,1,2.102,4.665,-5.72
50.0,150.0,2,3.195,5.513,-3.28
50.0,150.0,3,5.14,4.444,0.77
50.0,150.0,4,6.887,4.323,7.92
50.0,150.0,5,8.092,3.594,15.51
50.0,150.0,6,7.436,3.313,19.1
50.0,150.0,7,7.894,3.179,20.67
